Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras Kualitas Super I;29/01/2024;15,5;29/01/2024;15,5;15.5
Beras Kualitas Medium II;29/01/2024;14,4;29/01/2024;14,4;14.4
Beras Kualitas Super II;29/01/2024;15,7;29/01/2024;15,7;15.7
Beras Kualitas Super II;30/01/2024;15,7;30/01/2024;15,7;15.7
Beras Kualitas Super I;30/01/2024;15,5;30/01/2024;15,5;15.5
Beras Kualitas Medium I;30/01/2024;13,9;30/01/2024;13,9;13.9
Beras Kualitas Bawah II;30/01/2024;13,8;30/01/2024;13,8;13.8
Beras Kualitas Bawah I;30/01/2024;13,7;30/01/2024;13,7;13.7
Beras;30/01/2024;14,5;30/01/2024;14,5;14.5
Beras Kualitas Medium II;30/01/2024;14,4;30/01/2024;14,4;14.4
Beras Kualitas Medium I;31/01/2024;13,9;31/01/2024;13,9;13.9
Beras;31/01/2024;14,5;31/01/2024;14,5;14.5
Beras Kualitas Bawah I;31/01/2024;13,7;31/01/2024;13,7;13.7
Beras Kualitas Bawah II;31/01/2024;13,8;31/01/2024;13,8;13.8
Beras Kualitas Medium II;31/01/2024;14,4;31/01/2024;14,4;14.4
Beras Kualitas Super I;31/01/2024;15,5;31/01/2024;15,5;15.5
Beras Kualitas Super II;31/01/2024;15,7;31/01/2024;15,7;15.7
Beras;02/01/2024;14,1;01/02/2024;14,1;14.1
Beras Kualitas Super I;02/01/2024;15,4;01/02/2024;15,4;15.4
Beras Kualitas Medium II;02/01/2024;14,2;01/02/2024;14,2;14.2
Beras Kualitas Medium I;02/01/2024;13,5;01/02/2024;13,5;13.5
Beras Kualitas Bawah II;02/01/2024;13,2;01/02/2024;13,2;13.2
Beras Kualitas Bawah I;02/01/2024;13,5;01/02/2024;13,5;13.5
Beras Kualitas Super II;02/01/2024;14,8;01/02/2024;14,8;14.8
Beras Kualitas Bawah I;02/02/2024;14,4;02/02/2024;14,4;14.4
Beras Kualitas Bawah II;02/02/2024;14,6;02/02/2024;14,6;14.6
Beras;02/02/2024;14,95;02/02/2024;14,95;14.95
Beras Kualitas Medium II;02/02/2024;15,2;02/02/2024;15,2;15.2
Beras Kualitas Super I;02/02/2024;15,5;02/02/2024;15,5;15.5
Beras Kualitas Super II;02/02/2024;15,8;02/02/2024;15,8;15.8
Beras Kualitas Medium I;02/02/2024;14,3;02/02/2024;14,3;14.3
Beras Kualitas Super II;02/04/2024;16,45;04/02/2024;16,45;16.45
Beras Kualitas Medium I;02/04/2024;15,1;04/02/2024;15,1;15.1
Beras Kualitas Bawah I;02/04/2024;14,7;04/02/2024;14,7;14.7
Beras Kualitas Bawah II;02/04/2024;14,9;04/02/2024;14,9;14.9
Beras Kualitas Medium II;02/04/2024;16,2;04/02/2024;16,2;16.2
Beras Kualitas Super I;02/04/2024;16,4;04/02/2024;16,4;16.4
Beras;02/04/2024;15,65;04/02/2024;15,65;15.65
Beras Kualitas Super I;02/05/2024;16,5;05/02/2024;16,5;16.5
Beras Kualitas Super II;02/05/2024;16,35;05/02/2024;16,35;16.35
Beras Kualitas Medium II;02/05/2024;15,45;05/02/2024;15,45;15.45
Beras Kualitas Medium I;02/05/2024;14,7;05/02/2024;14,7;14.7
Beras Kualitas Bawah II;02/05/2024;14,1;05/02/2024;14,1;14.1
